RAOB/Space
    Balloon release date and time                	2017-02-03T18:44:12
    Station name                                 	SFSC RB31-101
    Sonde type                                   	RS41-SGP
    System trademark and model                   	MW41
    Software version                             	MW41 2.5.0
    Sonde software version                       	2.2.13
    Sounding status                              	Ok

     P  Temp  Dewp  RH Dir Speed HeightMSL    Lat     Lon Elapsed time
   hPa    °C    °C   %   °   m/s         m      °       °          min
1006.5   0.8 -10.4  43 336   3.1       126 37.844 -75.479         0.36
1005.8   0.8 -10.5  43 336   3.1       131 37.843 -75.479         0.38
1005.1   0.7 -10.5  43 335   3.1       138 37.843 -75.479         0.40
1004.4   0.6 -10.5  43 335   3.1       143 37.843 -75.479         0.41
1003.7   0.6 -10.6  43 334   3.1       149 37.843 -75.479         0.43
1003.0   0.6 -10.6  43 333   3.1       155 37.843 -75.479         0.45
1002.3   0.5 -10.6  43 333   3.1       160 37.843 -75.479         0.46
1001.6   0.4 -10.6  43 332   3.1       166 37.843 -75.479         0.48
1001.0   0.4 -10.5  44 331   3.1       171 37.843 -75.479         0.50
1000.3   0.3 -10.4  44 330   3.0       177 37.843 -75.479         0.51
 999.7   0.3 -10.3  45 329   3.0       181 37.843 -75.479         0.53
 999.0   0.3 -10.3  45 328   3.0       186 37.843 -75.478         0.55
 998.4   0.2 -10.4  45 327   3.0       191 37.843 -75.478         0.56
 997.8   0.2 -10.5  45 326   3.0       196 37.843 -75.478         0.58
 997.1   0.1 -10.6  44 325   2.9       201 37.843 -75.478         0.60
 996.5   0.0 -10.6  44 325   2.9       206 37.843 -75.478         0.61
 995.9   0.0 -10.6  45 324   2.9       211 37.843 -75.478         0.63
 995.2  -0.1 -10.6  45 324   2.9       217 37.843 -75.478         0.65
 994.6  -0.1 -10.7  45 323   2.9       222 37.843 -75.478         0.66
 993.9  -0.2 -10.7  45 322   2.8       228 37.843 -75.478         0.68
 993.2  -0.2 -10.7  45 322   2.8       232 37.843 -75.478         0.70
 992.6  -0.3 -10.7  45 322   2.8       237 37.843 -75.478         0.71
 991.9  -0.3 -10.7  45 322   2.8       243 37.843 -75.478         0.73
 991.2  -0.4 -10.7  46 322   2.7       248 37.843 -75.478         0.75
 990.5  -0.5 -10.8  46 322   2.7       254 37.843 -75.478         0.76
 989.8  -0.5 -10.8  46 323   2.7       261 37.843 -75.478         0.78
 989.1  -0.6 -10.8  46 323   2.7       267 37.843 -75.478         0.80
 988.4  -0.6 -10.8  46 324   2.7       272 37.843 -75.478         0.81
 987.7  -0.7 -10.9  46 324   2.6       278 37.843 -75.478         0.83
 986.9  -0.7 -10.9  46 325   2.6       283 37.843 -75.478         0.85
 986.3  -0.8 -10.8  46 326   2.6       289 37.843 -75.478         0.86
 985.6  -0.8 -10.8  47 327   2.7       295 37.843 -75.478         0.88
 984.9  -0.9 -10.8  47 328   2.7       300 37.843 -75.478         0.90
 984.2  -1.0 -10.9  47 329   2.7       306 37.843 -75.478         0.91
 983.5  -1.0 -10.9  47 330   2.7       312 37.843 -75.478         0.93
 982.8  -1.1 -10.9  47 332   2.8       317 37.843 -75.478         0.95
 982.1  -1.1 -10.9  47 333   2.8       322 37.843 -75.478         0.96
 981.5  -1.2 -10.9  48 334   2.9       328 37.843 -75.478         0.98
 980.8  -1.2 -10.9  48 334   3.0       333 37.843 -75.478         1.00
 980.1  -1.3 -10.9  48 335   3.1       339 37.843 -75.478         1.01
 979.4  -1.3 -11.0  48 336   3.2       344 37.843 -75.478         1.03
 978.7  -1.4 -11.0  48 336   3.3       350 37.843 -75.478         1.05
 978.1  -1.5 -10.9  48 336   3.4       356 37.843 -75.478         1.06
 977.4  -1.5 -10.9  49 336   3.5       361 37.843 -75.478         1.08
 976.7  -1.5 -10.9  49 336   3.6       365 37.842 -75.478         1.10
 976.0  -1.6 -11.0  49 336   3.8       371 37.842 -75.478         1.11
 975.4  -1.7 -11.0  49 336   4.0       378 37.842 -75.478         1.13
 974.7  -1.7 -11.2  48 336   4.1       384 37.842 -75.478         1.15
 974.0  -1.7 -11.5  47 336   4.3       389 37.842 -75.478         1.16
 973.3  -1.7 -11.9  46 335   4.5       393 37.842 -75.478         1.18
 972.7  -1.7 -12.1  45 335   4.7       400 37.842 -75.478         1.20
 972.0  -1.7 -12.1  45 335   4.9       406 37.842 -75.478         1.21
 971.3  -1.8 -12.0  46 334   5.1       411 37.842 -75.478         1.23
 970.7  -1.8 -11.8  46 334   5.3       415 37.842 -75.478         1.25
 970.0  -1.9 -11.7  47 334   5.5       421 37.842 -75.478         1.26
 969.4  -2.0 -11.6  48 333   5.7       426 37.842 -75.478         1.28
 968.7  -2.1 -11.4  49 333   5.9       432 37.842 -75.478         1.30
 968.0  -2.2 -11.1  50 333   6.1       437 37.842 -75.478         1.31
 967.2  -2.2 -11.1  51 332   6.3       443 37.842 -75.478         1.33
 966.5  -2.3 -11.2  50 332   6.5       449 37.842 -75.478         1.35
 965.7  -2.4 -11.6  49 332   6.7       456 37.842 -75.478         1.36
 964.9  -2.4 -12.1  47 331   6.9       463 37.842 -75.478         1.38
 964.1  -2.4 -12.4  46 331   7.1       471 37.842 -75.477         1.40
 963.3  -2.5 -12.5  46 331   7.2       477 37.842 -75.477         1.41
 962.5  -2.5 -12.6  46 330   7.4       483 37.842 -75.477         1.43
 961.8  -2.6 -12.7  46 330   7.6       489 37.842 -75.477         1.45
 961.0  -2.6 -12.8  45 330   7.7       496 37.842 -75.477         1.46
 960.3  -2.6 -13.1  44 329   7.9       502 37.841 -75.477         1.48
 959.6  -2.6 -13.3  44 329   8.0       507 37.841 -75.477         1.50
 959.0  -2.6 -13.3  43 328   8.1       513 37.841 -75.477         1.51
 958.3  -2.6 -13.4  43 328   8.2       518 37.841 -75.477         1.53
 957.7  -2.6 -13.6  42 327   8.3       522 37.841 -75.477         1.55
 957.0  -2.5 -13.8  42 327   8.4       528 37.841 -75.477         1.56
 956.4  -2.5 -13.9  41 326   8.5       533 37.841 -75.477         1.58
 955.8  -2.5 -13.9  41 325   8.6       539 37.841 -75.477         1.60
 955.1  -2.5 -14.0  41 325   8.6       544 37.841 -75.477         1.61
 954.4  -2.6 -14.2  40 324   8.7       550 37.841 -75.477         1.63
 953.8  -2.5 -14.3  40 323   8.7       555 37.841 -75.477         1.65
 953.2  -2.5 -14.4  40 322   8.7       561 37.841 -75.477         1.66
 952.5  -2.6 -14.5  39 321   8.7       566 37.841 -75.477         1.68
 951.9  -2.6 -14.6  39 321   8.8       571 37.840 -75.477         1.70
 951.2  -2.5 -14.6  39 320   8.8       576 37.840 -75.477         1.71
 950.6  -2.5 -14.7  39 319   8.8       581 37.840 -75.477         1.73
 950.0  -2.4 -14.6  39 318   8.7       585 37.840 -75.476         1.75
 949.3  -2.2 -14.4  39 317   8.7       591 37.840 -75.476         1.76
 948.6  -2.2 -14.4  39 316   8.7       597 37.840 -75.476         1.78
 947.9  -2.1 -14.3  39 315   8.7       604 37.840 -75.476         1.80
 947.2  -2.1 -14.4  38 315   8.6       611 37.840 -75.476         1.81
 946.5  -2.0 -14.5  38 314   8.6       617 37.840 -75.476         1.83
 945.8  -2.0 -14.8  37 313   8.5       622 37.840 -75.476         1.85
 945.1  -1.9 -15.0  36 312   8.5       627 37.840 -75.476         1.86
 944.5  -1.9 -15.1  36 312   8.4       633 37.840 -75.476         1.88
 943.8  -1.9 -15.1  36 311   8.3       639 37.840 -75.476         1.90
 943.2  -1.9 -15.2  36 310   8.3       643 37.840 -75.476         1.91
 942.6  -2.0 -15.2  36 310   8.2       649 37.840 -75.476         1.93
 942.0  -2.0 -15.2  36 309   8.1       654 37.840 -75.475         1.95
 941.4  -2.0 -15.2  36 309   8.1       660 37.840 -75.475         1.96
 940.8  -2.0 -15.3  36 308   8.0       664 37.840 -75.475         1.98
 940.2  -2.0 -15.4  35 308   7.9       668 37.840 -75.475         2.00
 939.6  -2.0 -15.4  35 308   7.9       673 37.840 -75.475         2.01
 938.9  -2.0 -15.4  35 307   7.8       679 37.840 -75.475         2.03
 938.3  -2.0 -15.3  35 307   7.8       684 37.840 -75.475         2.05
 937.6  -2.0 -15.1  36 307   7.7       690 37.839 -75.475         2.06
 937.0  -2.0 -14.8  37 306   7.7       696 37.839 -75.475         2.08
 936.3  -2.0 -14.6  38 306   7.7       702 37.839 -75.475         2.10
 935.6  -2.1 -14.5  38 306   7.7       708 37.839 -75.475         2.11
 935.0  -2.1 -14.5  38 306   7.7       714 37.839 -75.475         2.13
 934.3  -2.2 -14.5  38 306   7.7       719 37.839 -75.475         2.15
 933.6  -2.2 -14.4  39 305   7.7       724 37.839 -75.475         2.16
 933.0  -2.3 -14.3  39 305   7.7       730 37.839 -75.475         2.18
 932.4  -2.3 -14.2  40 305   7.8       736 37.839 -75.475         2.20
 931.7  -2.3 -14.0  40 305   7.8       741 37.839 -75.474         2.21
 931.1  -2.4 -13.9  41 305   7.9       747 37.839 -75.474         2.23
 930.5  -2.4 -13.8  41 305   7.9       752 37.839 -75.474         2.25
 930.0  -2.4 -13.7  42 305   8.0       756 37.839 -75.474         2.26
 929.4  -2.5 -13.6  42 305   8.0       761 37.839 -75.474         2.28
 928.8  -2.5 -13.6  42 305   8.0       766 37.839 -75.474         2.30
 928.3  -2.6 -13.5  43 305   8.1       770 37.839 -75.474         2.31
 927.7  -2.6 -13.3  43 305   8.1       775 37.839 -75.474         2.33
 927.1  -2.6 -13.3  44 305   8.2       780 37.839 -75.474         2.35
 926.6  -2.6 -13.3  44 305   8.2       785 37.839 -75.474         2.36
 926.0  -2.6 -13.3  44 305   8.2       790 37.839 -75.474         2.38
 925.4  -2.7 -13.4  44 305   8.2       795 37.839 -75.474         2.40
 924.8  -2.7 -13.4  44 305   8.2       799 37.839 -75.473         2.41
 924.2  -2.8 -13.4  44 306   8.1       804 37.839 -75.473         2.43
 923.6  -2.8 -13.4  44 306   8.1       809 37.839 -75.473         2.45
 923.0  -2.9 -13.4  44 306   8.0       815 37.838 -75.473         2.46
 922.4  -2.9 -13.5  44 306   8.0       820 37.838 -75.473         2.48
 921.7  -3.0 -13.5  44 306   7.9       825 37.838 -75.473         2.50
 921.1  -3.0 -13.6  44 306   7.8       831 37.838 -75.473         2.51
 920.4  -3.1 -13.6  44 306   7.7       839 37.838 -75.473         2.53
 919.8  -3.1 -13.8  43 306   7.6       844 37.838 -75.473         2.55
 919.2  -3.2 -14.0  43 306   7.5       850 37.838 -75.473         2.56
 918.6  -3.2 -14.2  43 306   7.4       854 37.838 -75.473         2.58
 918.0  -3.2 -14.2  43 306   7.3       859 37.838 -75.473         2.60
 917.4  -3.3 -14.2  43 306   7.2       864 37.838 -75.473         2.61
 916.9  -3.3 -14.2  43 306   7.1       868 37.838 -75.472         2.63
 916.3  -3.4 -14.2  43 306   7.0       872 37.838 -75.472         2.65
 915.7  -3.4 -14.3  43 305   6.9       878 37.838 -75.472         2.66
 915.2  -3.4 -14.4  42 305   6.8       883 37.838 -75.472         2.68
 914.6  -3.4 -14.5  42 304   6.7       887 37.838 -75.472         2.70
 914.0  -3.4 -14.6  42 304   6.7       892 37.838 -75.472         2.71
 913.4  -3.4 -14.7  41 303   6.6       898 37.838 -75.472         2.73
 912.8  -3.4 -14.8  41 303   6.6       903 37.838 -75.472         2.75
 912.2  -3.5 -14.9  41 302   6.6       909 37.838 -75.472         2.76
 911.7  -3.5 -15.0  40 301   6.6       914 37.838 -75.472         2.78
 911.1  -3.5 -15.1  40 300   6.6       917 37.838 -75.472         2.80
 910.5  -3.6 -15.4  40 299   6.6       923 37.838 -75.472         2.81
 909.9  -3.6 -15.7  39 298   6.7       928 37.838 -75.472         2.83
 909.3  -3.6 -16.0  38 297   6.7       933 37.838 -75.472         2.85
 908.7  -3.7 -16.2  37 296   6.8       938 37.838 -75.472         2.86
 908.0  -3.7 -16.3  37 295   6.9       945 37.838 -75.472         2.88
 907.4  -3.8 -16.5  37 294   7.0       950 37.838 -75.472         2.90
 906.7  -3.8 -16.7  36 293   7.0       956 37.838 -75.472         2.91
 906.1  -3.8 -17.1  35 291   7.1       962 37.838 -75.472         2.93
 905.4  -3.9 -17.5  34 290   7.2       967 37.837 -75.471         2.95
 904.8  -3.9 -17.9  33 289   7.3       972 37.837 -75.471         2.96
 904.1  -3.9 -18.2  32 288   7.4       980 37.837 -75.471         2.98
 903.4  -3.9 -18.2  32 287   7.5       985 37.837 -75.471         3.00
 902.7  -3.9 -18.1  32 286   7.6       990 37.837 -75.471         3.01
 902.0  -3.9 -17.9  33 284   7.7       995 37.837 -75.471         3.03
 901.3  -3.9 -17.5  34 283   7.8      1002 37.837 -75.471         3.05
 900.6  -4.0 -17.2  35 282   7.9      1010 37.837 -75.471         3.06
 899.9  -4.0 -17.1  35 281   8.0      1016 37.837 -75.471         3.08
 899.3  -4.0 -17.0  36 280   8.1      1023 37.837 -75.470         3.10
 898.6  -4.1 -16.9  36 279   8.2      1028 37.837 -75.470         3.11
 898.0  -4.1 -16.8  36 278   8.3      1033 37.837 -75.470         3.13
 897.4  -4.1 -16.7  37 277   8.4      1038 37.837 -75.470         3.15
 896.8  -4.1 -16.6  37 276   8.5      1043 37.837 -75.470         3.16
 896.2  -4.1 -16.6  37 275   8.6      1048 37.837 -75.470         3.18
 895.7  -4.2 -16.5  37 274   8.7      1052 37.837 -75.470         3.20
 895.1  -4.2 -16.5  38 273   8.8      1057 37.837 -75.470         3.21
 894.5  -4.2 -16.6  38 272   8.8      1063 37.837 -75.470         3.23
 894.0  -4.2 -16.6  37 271   8.9      1068 37.837 -75.470         3.25
 893.4  -4.2 -16.7  37 270   9.0      1073 37.837 -75.470         3.26
 892.8  -4.2 -16.7  37 270   9.1      1079 37.837 -75.470         3.28
 892.3  -4.3 -16.8  37 269   9.2      1083 37.837 -75.469         3.30
 891.8  -4.3 -16.9  37 269   9.3      1087 37.837 -75.469         3.31
 891.2  -4.2 -17.0  36 268   9.3      1092 37.837 -75.469         3.33
 890.7  -4.2 -17.1  36 268   9.4      1097 37.837 -75.469         3.35
 890.1  -4.2 -17.3  35 267   9.5      1101 37.837 -75.469         3.36
 889.6  -4.2 -17.6  35 267   9.6      1105 37.837 -75.469         3.38
 889.1  -4.2 -17.9  33 267   9.6      1111 37.837 -75.469         3.40
 888.5  -4.2 -18.4  32 267   9.7      1116 37.837 -75.469         3.41
 888.0  -4.2 -18.9  31 267   9.7      1120 37.837 -75.468         3.43
 887.4  -4.2 -19.1  30 267   9.8      1125 37.837 -75.468         3.45
 886.9  -4.2 -19.2  30 267   9.8      1131 37.837 -75.468         3.46
 886.4  -4.3 -19.3  30 268   9.8      1135 37.837 -75.468         3.48
 885.8  -4.3 -19.4  30 268   9.8      1139 37.837 -75.468         3.50
 885.3  -4.3 -19.5  30 268   9.8      1144 37.837 -75.468         3.51
 884.8  -4.4 -19.6  29 269   9.8      1150 37.837 -75.468         3.53
 884.2  -4.4 -19.7  29 269   9.8      1155 37.837 -75.468         3.55
 883.7  -4.4 -19.9  29 269   9.8      1159 37.838 -75.468         3.56
 883.2  -4.5 -20.1  28 270   9.8      1163 37.838 -75.467         3.58
 882.7  -4.5 -20.4  28 270   9.7      1167 37.838 -75.467         3.60
 882.2  -4.5 -20.6  27 271   9.7      1172 37.838 -75.467         3.61
 881.7  -4.6 -20.8  27 271   9.6      1176 37.838 -75.467         3.63
 881.2  -4.6 -20.9  27 272   9.5      1181 37.837 -75.467         3.65
 880.6  -4.6 -20.8  27 272   9.5      1185 37.837 -75.467         3.66
 880.1  -4.7 -20.7  27 272   9.4      1191 37.837 -75.467         3.68
 879.6  -4.7 -20.7  27 272   9.3      1196 37.837 -75.467         3.70
 879.1  -4.8 -20.8  27 273   9.2      1201 37.837 -75.466         3.71
 878.5  -4.8 -20.9  27 273   9.1      1205 37.837 -75.466         3.73
 878.0  -4.9 -21.0  27 273   9.0      1209 37.837 -75.466         3.75
 877.5  -4.9 -21.0  27 273   8.9      1213 37.837 -75.466         3.76
 877.0  -5.0 -21.1  27 273   8.9      1218 37.837 -75.466         3.78
 876.4  -5.0 -21.1  27 272   8.8      1224 37.837 -75.466         3.80
 875.9  -5.1 -21.1  27 272   8.7      1229 37.837 -75.466         3.81
 875.4  -5.1 -21.1  27 272   8.6      1233 37.837 -75.466         3.83
 874.8  -5.1 -21.2  27 271   8.5      1237 37.837 -75.466         3.85
 874.3  -5.2 -21.3  27 271   8.5      1242 37.837 -75.466         3.86
 873.8  -5.2 -21.4  27 270   8.4      1248 37.837 -75.466         3.88
 873.2  -5.3 -21.6  27 270   8.3      1252 37.837 -75.466         3.90
 872.7  -5.3 -21.6  26 269   8.3      1257 37.837 -75.465         3.91
 872.2  -5.3 -21.7  26 268   8.3      1263 37.837 -75.465         3.93
 871.6  -5.4 -21.7  26 268   8.2      1266 37.837 -75.465         3.95
 871.1  -5.4 -21.7  26 267   8.2      1272 37.837 -75.465         3.96
 870.5  -5.5 -21.7  27 267   8.2      1276 37.837 -75.465         3.98
 870.0  -5.5 -21.7  27 266   8.2      1282 37.837 -75.465         4.00
 869.4  -5.6 -21.8  27 266   8.2      1286 37.837 -75.465         4.01
 868.9  -5.6 -21.9  26 265   8.2      1291 37.837 -75.465         4.03
 868.4  -5.6 -22.1  26 265   8.3      1296 37.837 -75.465         4.05
 867.8  -5.7 -22.3  26 265   8.3      1301 37.837 -75.465         4.06
 867.3  -5.7 -22.3  26 265   8.3      1306 37.837 -75.465         4.08
 866.7  -5.7 -22.4  26 266   8.4      1311 37.837 -75.464         4.10
 866.2  -5.8 -22.6  25 266   8.4      1316 37.837 -75.464         4.11
 865.7  -5.8 -22.7  25 266   8.4      1321 37.837 -75.464         4.13
 865.1  -5.9 -22.8  25 267   8.5      1325 37.837 -75.464         4.15
 864.6  -5.9 -22.9  25 268   8.5      1330 37.837 -75.464         4.16
 864.1  -5.9 -23.0  25 269   8.5      1335 37.837 -75.464         4.18
 863.6  -6.0 -23.0  25 269   8.6      1339 37.837 -75.464         4.20
 863.0  -6.0 -23.0  25 270   8.6      1344 37.838 -75.464         4.21
 862.5  -6.1 -23.1  25 272   8.7      1348 37.838 -75.464         4.23
 861.9  -6.1 -23.3  24 273   8.7      1353 37.838 -75.464         4.25
 861.4  -6.2 -23.5  24 274   8.8      1359 37.838 -75.463         4.26
 860.8  -6.2 -23.8  23 275   8.9      1365 37.838 -75.463         4.28
 860.2  -6.2 -24.0  23 277   8.9      1370 37.838 -75.463         4.30
 859.5  -6.3 -24.2  23 278   9.0      1375 37.838 -75.463         4.31
 858.9  -6.3 -24.6  22 279   9.1      1382 37.837 -75.463         4.33
 858.3  -6.3 -25.0  21 280   9.1      1388 37.837 -75.463         4.35
 857.7  -6.4 -25.6  20 281   9.2      1394 37.837 -75.463         4.36
 857.1  -6.4 -26.2  19 283   9.3      1399 37.837 -75.463         4.38
 856.5  -6.4 -26.9  18 284   9.4      1405 37.837 -75.463         4.40
 855.9  -6.5 -27.6  17 285   9.5      1410 37.837 -75.463         4.41
 855.3  -6.5 -28.3  16 286   9.5      1414 37.837 -75.462         4.43
 854.7  -6.5 -28.8  15 287   9.6      1420 37.837 -75.462         4.45
 854.1  -6.5 -29.4  14 287   9.7      1426 37.837 -75.462         4.46
 853.5  -6.6 -30.2  13 288   9.8      1431 37.837 -75.462         4.48
 853.0  -6.6 -31.5  12 289   9.8      1437 37.837 -75.462         4.50
 852.4  -6.5 -33.2  10 290   9.9      1441 37.837 -75.462         4.51
 851.9  -6.5 -35.2   8 290  10.0      1446 37.837 -75.462         4.53
 851.4  -6.4 -37.2   7 291  10.0      1451 37.837 -75.462         4.55
 850.9  -6.3 -38.6   6 291  10.0      1455 37.837 -75.462         4.56
 850.3  -6.3 -39.1   5 291  10.1      1460 37.837 -75.462         4.58
 849.8  -6.2 -39.0   5 292  10.1      1464 37.837 -75.461         4.60
 849.3  -6.1 -38.6   6 292  10.1      1469 37.837 -75.461         4.61
 848.8  -6.1 -38.0   6 293  10.1      1475 37.837 -75.461         4.63
 848.2  -6.1 -37.2   6 293  10.1      1479 37.837 -75.461         4.65
 847.7  -6.0 -36.1   7 293  10.1      1484 37.837 -75.461         4.66
 847.1  -6.0 -35.0   8 294  10.1      1490 37.837 -75.461         4.68
 846.6  -6.0 -34.0   9 294  10.0      1494 37.837 -75.461         4.70
 846.0  -5.9 -33.2  10 294  10.0      1501 37.837 -75.460         4.71
 845.5  -5.9 -32.3  10 295  10.0      1506 37.837 -75.460         4.73
 844.9  -5.9 -31.1  12 295  10.0      1511 37.837 -75.460         4.75
 844.4  -5.8 -30.0  13 295   9.9      1515 37.837 -75.460         4.76
 843.8  -5.7 -29.5  13 296   9.9      1520 37.837 -75.460         4.78
 843.3  -5.7 -29.7  13 296   9.9      1526 37.837 -75.460         4.80
 842.7  -5.6 -29.9  13 296   9.9      1530 37.837 -75.460         4.81
 842.2  -5.6 -30.1  13 297   9.8      1535 37.837 -75.460         4.83
 841.6  -5.5 -30.2  12 297   9.8      1540 37.836 -75.460         4.85
 841.1  -5.5 -30.2  12 297   9.8      1546 37.836 -75.460         4.86
 840.5  -5.5 -30.2  12 297   9.8      1552 37.836 -75.460         4.88
 840.0  -5.5 -30.1  12 297   9.8      1556 37.836 -75.460         4.90
 839.5  -5.5 -30.1  12 297   9.9      1561 37.836 -75.459         4.91
 839.0  -5.5 -30.2  12 297   9.9      1565 37.836 -75.459         4.93
 838.5  -5.5 -30.3  12 297   9.9      1570 37.836 -75.459         4.95
 838.0  -5.5 -30.3  12 297  10.0      1575 37.836 -75.459         4.96
 837.5  -5.6 -30.2  12 297  10.0      1580 37.836 -75.459         4.98
 837.0  -5.6 -30.1  13 296  10.1      1584 37.836 -75.459         5.00
 836.4  -5.6 -30.1  13 296  10.2      1589 37.836 -75.459         5.01
 835.9  -5.6 -30.1  13 295  10.3      1594 37.836 -75.459         5.03
 835.4  -5.6 -30.1  13 294  10.4      1599 37.836 -75.459         5.05
 834.9  -5.6 -30.0  13 294  10.4      1604 37.836 -75.459         5.06
 834.3  -5.7 -30.1  13 293  10.5      1609 37.836 -75.459         5.08
 833.8  -5.7 -30.2  13 292  10.6      1613 37.836 -75.458         5.10
 833.2  -5.7 -30.4  12 291  10.8      1618 37.836 -75.458         5.11
 832.7  -5.7 -30.6  12 291  10.9      1624 37.836 -75.458         5.13
 832.1  -5.7 -30.9  12 290  11.0      1630 37.836 -75.458         5.15
 831.5  -5.7 -31.1  12 289  11.1      1635 37.836 -75.458         5.16
 830.9  -5.7 -31.4  11 288  11.2      1641 37.836 -75.458         5.18
 830.3  -5.7 -31.6  11 288  11.4      1647 37.835 -75.458         5.20
 829.7  -5.7 -31.6  11 287  11.5      1653 37.835 -75.457         5.21
 829.1  -5.7 -31.4  11 286  11.6      1659 37.835 -75.457         5.23
 828.5  -5.7 -31.2  11 286  11.7      1665 37.835 -75.457         5.25
 828.0  -5.7 -30.8  12 285  11.9      1670 37.835 -75.457         5.26
 827.4  -5.7 -30.5  12 285  12.0      1675 37.835 -75.457         5.28
 826.9  -5.7 -30.2  13 284  12.1      1679 37.835 -75.457         5.30
 826.4  -5.7 -30.2  13 284  12.2      1683 37.835 -75.457         5.31
 825.9  -5.7 -30.3  12 283  12.4      1689 37.835 -75.457         5.33
 825.3  -5.7 -30.4  12 283  12.5      1692 37.835 -75.456         5.35
 824.8  -5.7 -30.4  12 282  12.6      1698 37.835 -75.456         5.36
 824.3  -5.7 -30.4  12 282  12.8      1704 37.835 -75.456         5.38
 823.7  -5.7 -30.4  12 282  12.9      1710 37.835 -75.456         5.40
 823.1  -5.7 -30.5  12 282  13.1      1715 37.835 -75.456         5.41
 822.5  -5.7 -30.7  12 281  13.2      1720 37.835 -75.456         5.43
 822.0  -5.7 -30.8  12 281  13.3      1726 37.835 -75.456         5.45
 821.4  -5.7 -30.6  12 281  13.5      1732 37.835 -75.456         5.46
 820.9  -5.6 -30.3  12 281  13.6      1737 37.835 -75.455         5.48
 820.3  -5.7 -30.2  12 281  13.8      1742 37.835 -75.455         5.50
 819.8  -5.7 -30.2  12 280  13.9      1746 37.835 -75.455         5.51
 819.3  -5.7 -30.2  12 280  14.1      1752 37.835 -75.455         5.53
 818.7  -5.7 -30.2  13 280  14.2      1756 37.835 -75.455         5.55
 818.2  -5.8 -30.3  13 280  14.4      1761 37.835 -75.455         5.56
 817.6  -5.8 -30.3  13 280  14.5      1767 37.835 -75.454         5.58
 817.1  -5.8 -30.3  13 280  14.7      1771 37.835 -75.454         5.60
 816.5  -5.9 -30.3  13 280  14.8      1777 37.835 -75.454         5.61
 815.9  -5.9 -30.3  13 280  14.9      1784 37.835 -75.454         5.63
 815.2  -5.9 -30.2  13 280  15.1      1791 37.835 -75.454         5.65
 814.6  -5.9 -30.1  13 279  15.2      1796 37.835 -75.454         5.66
 814.0  -5.9 -30.1  13 279  15.3      1802 37.835 -75.453         5.68
 813.3  -6.0 -30.1  13 279  15.4      1809 37.835 -75.453         5.70
 812.6  -6.0 -30.0  13 279  15.5      1816 37.835 -75.453         5.71
 812.0  -6.1 -29.9  13 279  15.6      1822 37.835 -75.453         5.73
 811.3  -6.1 -29.9  13 279  15.7      1828 37.835 -75.453         5.75
 810.7  -6.1 -29.8  13 279  15.8      1833 37.835 -75.452         5.76
 810.0  -6.1 -29.7  14 280  15.9      1840 37.835 -75.452         5.78
 809.4  -6.1 -29.6  14 280  15.9      1847 37.835 -75.452         5.80
 808.7  -6.2 -29.5  14 280  16.0      1853 37.835 -75.452         5.81
 808.1  -6.2 -29.3  14 280  16.1      1860 37.835 -75.452         5.83
 807.5  -6.3 -29.2  14 280  16.1      1866 37.835 -75.452         5.85
 806.8  -6.3 -29.0  15 280  16.2      1872 37.835 -75.451         5.86
 806.2  -6.4 -28.9  15 280  16.2      1877 37.835 -75.451         5.88
