RAOB/Space
    Balloon release date and time                	2017-02-03T18:44:12
    Station name                                 	UMBC
    Sonde type                                   	RS41-SGP
    System trademark and model                   	MW41
    Software version                             	MW41 2.2.0
    Sonde software version                       	2.2.13
    Sounding status                              	Ok

     P  Temp  Dewp  RH Dir Speed HeightMSL    Lat     Lon Elapsed time
   hPa    °C    °C   %   °   m/s         m      °       °          min
 925.4  -2.7 -13.4  44 305   8.2       795 37.839 -75.474         2.39
 924.8  -2.7 -13.4  44 305   8.2       799 37.839 -75.473         2.40
 924.2  -2.8 -13.4  44 306   8.1       804 37.839 -75.473         2.42
 923.6  -2.8 -13.4  44 306   8.1       809 37.839 -75.473         2.44
 923.0  -2.9 -13.4  44 306   8.0       815 37.838 -75.473         2.45
 922.4  -2.9 -13.5  44 306   8.0       820 37.838 -75.473         2.47
 921.7  -3.0 -13.5  44 306   7.9       825 37.838 -75.473         2.49
 921.1  -3.0 -13.6  44 306   7.8       831 37.838 -75.473         2.50
 920.4  -3.1 -13.6  44 306   7.7       839 37.838 -75.473         2.52
 919.8  -3.1 -13.8  43 306   7.6       844 37.838 -75.473         2.54
 919.2  -3.2 -14.0  43 306   7.5       850 37.838 -75.473         2.55
 918.6  -3.2 -14.2  43 306   7.4       854 37.838 -75.473         2.57
 918.0  -3.2 -14.2  43 306   7.3       859 37.838 -75.473         2.59
 917.4  -3.3 -14.2  43 306   7.2       864 37.838 -75.472         2.60
 916.9  -3.3 -14.2  43 306   7.1       868 37.838 -75.472         2.62
 916.3  -3.4 -14.2  43 306   7.0       872 37.838 -75.472         2.64
 915.7  -3.4 -14.3  43 305   6.9       878 37.838 -75.472         2.65
 915.2  -3.4 -14.4  42 305   6.8       883 37.838 -75.472         2.67
 914.6  -3.4 -14.5  42 304   6.7       887 37.838 -75.472         2.69
 914.0  -3.4 -14.6  42 304   6.7       892 37.838 -75.472         2.70
 913.4  -3.4 -14.7  41 303   6.6       898 37.838 -75.472         2.72
 912.8  -3.4 -14.8  41 303   6.6       903 37.838 -75.472         2.74
 912.2  -3.5 -14.9  41 302   6.6       909 37.838 -75.472         2.75
 911.7  -3.5 -15.0  40 301   6.6       914 37.838 -75.472         2.77
 911.1  -3.5 -15.1  40 300   6.6       917 37.838 -75.472         2.79
 910.5  -3.6 -15.4  40 299   6.6       923 37.838 -75.472         2.80
 909.9  -3.6 -15.7  39 298   6.7       928 37.838 -75.472         2.82
 909.3  -3.6 -16.0  38 297   6.7       933 37.838 -75.472         2.84
 908.7  -3.7 -16.2  37 296   6.8       938 37.838 -75.472         2.85
